date,eth_log_return,btc_log_return,tvl_log_return,eth_vol_30d,btc_vol_30d,tvl_vol_30d,tvl_drawdown,sentiment_composite,sentiment_z,fg_norm,usdc_depeg,usdc_deviation,vix_change,dxy_log_return,ffr_change
2022-12-04,0.030876448784335594,0.012974242698661298,-0.0005105678227805265,1.1703730236386685,0.8077918405090224,0.6100736902348748,-0.28986919112994197,0.185,-1.2462277364065895,0.26,0,,,,0.0
2022-12-05,-0.015755676837173074,-0.008179770631694087,0.014729592493620056,1.1706279497411147,0.8061727443512136,0.5978754805146536,-0.2793318387603664,0.185,-1.2462277364065895,0.26,0,,,,0.0
2022-12-06,0.009412373448134082,0.007200670308000258,-0.012766040174232253,1.1676982310359982,0.8067459390266369,0.5974615579698325,-0.28847344226860633,0.18,-1.2868215139639356,0.25,0,,1.4200000000000017,0.0030994397058261933,0.0
2022-12-07,-0.032082671682039744,-0.014875177009226765,0.009246028300077772,1.170647422517161,0.8067096092695363,0.5999806075139369,-0.28186413976574876,0.19999999999999998,-1.1244464037345507,0.29,0,,0.509999999999998,-0.002101881358853118,0.0
2022-12-08,0.03902763394865509,0.022752101931693153,-0.000805643845743623,1.0424619551076317,0.7310601966499198,0.6003807978945672,-0.2824424685071777,0.18,-1.2868215139639356,0.25,0,,-0.39000000000000057,-0.002819201136321257,0.0
2022-12-09,-0.01343167624696493,-0.005562320142259912,0.003555183988518879,0.7892914033879921,0.49186672857724995,0.49880835336084267,-0.2798868793573045,0.185,-1.2462277364065895,0.26,0,,0.5399999999999991,4.002690789000891e-05,0.0
2022-12-10,0.0025697300112286145,-6.247071687181942e-05,-0.0008554892953260613,0.540292102480412,0.3427257142234336,0.2793439739919804,-0.2724276308060103,0.19,-1.205633958849243,0.27,0,,,,0.0
2022-12-11,-0.002640985815637715,-0.0024809629316508166,0.00695935133982997,0.5397691014913909,0.32564845944259513,0.23865149100865485,-0.261149102066353,0.185,-1.2462277364065895,0.26,0,,,,0.0
2022-12-12,0.009762093905650984,0.007276920090016073,-0.010875784509930186,0.5335505277734491,0.3218072775211611,0.229753017393884,-0.24393003595112642,0.19,-1.205633958849243,0.27,0,,,,0.0
2022-12-13,0.03489447239766374,0.032295365713004065,-0.0008919649063154053,0.5357705004581498,0.32131093233042707,0.22353719295227137,-0.24460412315002247,0.19,-1.205633958849243,0.27,0,,-2.4499999999999993,-0.00753905427849529,0.0
2022-12-14,-0.010083300494032527,0.0015993100237424041,0.0027511326164853865,0.5346872305881365,0.31687997844968235,0.21264376525364476,-0.2425230675975372,0.205,-1.0838526261772046,0.3,0,,-1.4100000000000001,-0.00021914714094531886,0.0
2022-12-15,-0.03178225373876851,-0.025417550422032496,-0.002170639331096384,0.5466439385360938,0.32663767037826485,0.21202656889665045,-0.2441654936172684,0.21,-1.0432588486198582,0.31,0,,1.6899999999999977,0.005968725584295662,0.0
2022-12-16,-0.08199810303572418,-0.042622091974556034,-0.016122849702220426,0.609451900616481,0.35682618101439756,0.216562694561881,-0.2562539874169821,0.19999999999999998,-1.1244464037345507,0.29,0,,-0.2099999999999973,0.0008042336071300613,0.0
2022-12-17,0.017273230112821638,0.008644524244231441,-0.04573096139628096,0.6113254879664461,0.3580728125866446,0.26201959859477203,-0.28950022261445413,0.195,-1.165040181291897,0.28,0,,,,0.0
2022-12-18,-0.0034595979186281527,-0.0022861599473239873,0.005649303269876613,0.61023771265133,0.3581724883958285,0.2629661491689582,-0.28547503485081754,0.18333333333333335,-1.2597589955923714,0.26,0,,,,0.0
2022-12-19,-0.01296553928147506,-0.018044869047170384,0.0026945070740643138,0.6113974270611683,0.3637076014078418,0.2635494202473252,-0.28354714608910603,0.1983333333333333,-1.1379776629203329,0.29,0,,,,0.0
2022-12-20,0.041200748287920794,0.027401604731458414,-0.015831738549870616,0.5854130088330045,0.3647985454185729,0.2675301438777375,-0.2948005250306365,0.1983333333333333,-1.1379776629203329,0.29,0,,-0.9400000000000013,-0.0032027729132589624,0.0
2022-12-21,-0.002600054124051634,-0.004204603849787203,0.014891673344418141,0.5734508781639807,0.3463584100412568,0.25522931946283867,-0.284220342014805,0.18333333333333335,-1.2597589955923714,0.26,0,,-1.4100000000000001,0.001203673353369077,0.0
2022-12-22,0.0032325885956782634,-0.00019259290140687945,-0.0003458233623966649,0.5659402508897495,0.33373712388523485,0.2545353222944251,-0.28446783254639413,0.19333333333333336,-1.1785714404776788,0.28,0,,1.8999999999999986,-0.00033452653561308093,0.0
2022-12-23,0.0018706162898215746,-0.002555363857047274,-0.00023026188991253407,0.5504538747003993,0.3245754450025021,0.2545333032404545,-0.28463257336807085,0.18833333333333335,-1.219165218035025,0.27,0,,-1.0999999999999979,-0.0021915016866182247,0.0
2022-12-24,0.000344205871288915,0.003428273556819251,-0.0015088617227006858,0.5477493504381445,0.32474334474838584,0.2495156520572572,-0.2857111499796709,0.1983333333333333,-1.1379776629203329,0.29,0,,,,0.0
2022-12-25,-0.0015580670004475847,-0.00023820676162420736,0.0012269806376069214,0.5475968606505494,0.32423401382938855,0.2489526424329222,-0.28483419349674527,0.19666666666666666,-1.1515089221061148,0.29,0,,,,0.0
2022-12-26,0.007847601399340806,0.005171929813683699,-0.00974461018352522,0.5479546629485439,0.32419492489688007,0.25080070429887175,-0.2917693603701229,0.19166666666666668,-1.192102699663461,0.28,0,,,,0.0
2022-12-27,-0.013575870686164657,-0.01267081627317635,0.00494407323169615,0.5490226834850581,0.32754219472882207,0.24699400517581216,-0.28825914599465896,0.18666666666666668,-1.232696477220807,0.27,0,,,,0.0
2022-12-28,-0.017821181974358467,-0.00956593439752758,-0.005278258914282129,0.5469994234987308,0.32584747925288976,0.24679531826694212,-0.29200600136663707,0.19166666666666668,-1.192102699663461,0.28,0,,0.490000000000002,0.002080723949689299,0.0
2022-12-29,0.008650457182000732,0.005193379640446887,-0.006598490268151077,0.5283943287481606,0.3227161018490713,0.2417193401437295,-0.2966623136661622,0.19166666666666668,-1.192102699663461,0.28,0,,-0.6999999999999993,-0.0028711546851896523,0.0
2022-12-30,-0.00041658335602117456,-0.0015637342071172207,-0.00018884624493335707,0.4777991024795038,0.2838832589129751,0.22217536805832191,-0.2967951238064036,0.19166666666666668,-1.192102699663461,0.28,0,,0.23000000000000043,-0.0019096340269635936,0.0
2022-12-31,-0.003221878152229308,-0.003926414431065476,-0.0029249259801486095,0.4760039406139696,0.2818824353378608,0.2152052237869368,-0.2988489409223958,0.17666666666666667,-1.3138840323354997,0.25,0,,,,0.0
2023-01-01,0.0035135047223095435,0.004484440922006132,-0.012042758160701625,0.4725032804257188,0.28121432849315864,0.21719890163849825,-0.30724209376939676,0.18333333333333335,-1.2597589955923714,0.26,0,,,,0.23000000000000043
2023-01-02,0.011315842641327302,0.00337162473850112,0.007386898294496381,0.45096235125755296,0.27859233812334133,0.2174080003536126,-0.3021058143421037,0.18833333333333335,-1.219165218035025,0.27,0,,,,0.0
2023-01-03,0.00045294518078942554,0.00013853883532594145,0.005282711975838333,0.4363836956991374,0.2743899952958653,0.21896837357096363,-0.29840928511665354,0.18333333333333335,-1.2597589955923714,0.26,0,,,,0.0
